title,url,publishedDate,dateObject,src,lang,og_title
"
Attempts being made to trigger riots in Kerala by some political parties, minorities panel writes to home minister
",https://timesofindia.indiatimes.com/india/attempts-being-made-to-trigger-riots-in-kerala-by-some-political-parties-minorities-panel-writes-to-home-minister/articleshow/67559915.cms,16 Jan 2019,2019-01-16 00:00:00,timesofindia,en,
1984 anti-Sikh riot accused Jagdish Tytler's presence at Congress event creates row,https://timesofindia.indiatimes.com/india/sheila-dikshit-takes-charge-as-delhi-congress-chief/articleshow/67554754.cms,16 Jan 2019,2019-01-16 00:00:00,timesofindia,en,
"
Some trying to trigger riots: NCM
",https://timesofindia.indiatimes.com/india/some-trying-to-trigger-riots-ncm/articleshow/67549225.cms,15 Jan 2019,2019-01-15 00:00:00,timesofindia,en,
SC to hear Zakia Jafri's plea against clean chit to Modi in Gujarat riots after 4 weeks,https://timesofindia.indiatimes.com/india/sc-to-hear-zakia-jafris-plea-against-clean-chit-to-modi-in-gujarat-riots-after-4-weeks/articleshow/67537043.cms,15 Jan 2019,2019-01-15 00:00:00,timesofindia,en,
1984 anti-Sikh riots: SC notice to CBI on Sajjan Kumar's appeal,https://timesofindia.indiatimes.com/india/1984-anti-sikh-riots-sc-notice-to-cbi-on-sajjan-kumars-appeal/articleshow/67522319.cms,14 Jan 2019,2019-01-14 00:00:00,timesofindia,en,
15 held for rioting after two groups clash in Ghatkopar,https://timesofindia.indiatimes.com/city/mumbai/15-held-for-rioting-after-two-groups-clash-in-ghatkopar/articleshow/67520838.cms,14 Jan 2019,2019-01-14 00:00:00,timesofindia,en,
"PM Modi slams Congress over 1984 riots, its inability to keep Kartarpur Sahib in Indian territory",https://timesofindia.indiatimes.com/india/pm-modi-slams-congress-over-1984-riots-its-inability-to-keep-kartarpur-sahib-in-indian-territory/articleshow/67518725.cms,13 Jan 2019,2019-01-13 00:00:00,timesofindia,en,
"PM Modi attacks Congress over Kartarpur corridor, 1984 riots",https://timesofindia.indiatimes.com/india/pm-attacks-cong-on-kartarpur-sahib-1984-riots/articleshow/67511174.cms,13 Jan 2019,2019-01-13 00:00:00,timesofindia,en,
"
Rajnath Singh to felicitate Phoolka for legal fight in anti-Sikh riots cases
",https://timesofindia.indiatimes.com/india/rajnath-singh-to-felicitate-phoolka-for-legal-fight-in-anti-sikh-riots-cases/articleshow/67504362.cms,12 Jan 2019,2019-01-12 00:00:00,timesofindia,en,
"
Be a part of this laugh riot
",https://timesofindia.indiatimes.com/entertainment/kannada/theatre/be-a-part-of-this-laugh-riot/articleshow/67500844.cms,12 Jan 2019,2019-01-12 00:00:00,timesofindia,en,
"Kasautii Zindagii Kay 2 written update January 11, 2019: Prerna and Anurag get stuck in a political riot",https://timesofindia.indiatimes.com/tv/news/hindi/kasautii-zindagii-kay-2-written-update-january-11-2019-prerna-and-anurag-get-stuck-in-a-political-riot/articleshow/67499548.cms,12 Jan 2019,2019-01-12 00:00:00,timesofindia,en,
"
Madras high court dismisses former Tamil Nadu minister Balakrishna Reddy's plea to suspend conviction in riot case
",https://timesofindia.indiatimes.com/city/chennai/madras-high-court-dismisses-former-tamil-nadu-minister-balakrishna-reddys-plea-to-suspend-conviction-in-riot-case/articleshow/67491198.cms,11 Jan 2019,2019-01-11 00:00:00,timesofindia,en,
"
Madras HC to pass order on former TN minister Balakrishna Reddy’s plea for suspension of conviction in riot case
",https://timesofindia.indiatimes.com/city/chennai/madras-hc-to-pass-order-on-former-tn-minister-balakrishna-reddys-plea-for-suspension-of-conviction-in-riot-case/articleshow/67485053.cms,11 Jan 2019,2019-01-11 00:00:00,timesofindia,en,
"Badals using religion, 1984 riots to further political interests: Punjab CM Captain Amarinder Singh",https://timesofindia.indiatimes.com/city/chandigarh/badals-using-religion-1984-riots-to-further-political-interests-capt/articleshow/67478818.cms,11 Jan 2019,2019-01-11 00:00:00,timesofindia,en,
1984 anti-Sikh riots: SC to hear Sajjan Kumar's appeal on January 14,https://timesofindia.indiatimes.com/india/1984-anti-sikh-riots-sc-to-hear-sajjan-kumars-appeal-on-january-14/articleshow/67476271.cms,10 Jan 2019,2019-01-10 00:00:00,timesofindia,en,
"
A riot of colours and lively music
",https://timesofindia.indiatimes.com/entertainment/events/kolkata/a-riot-of-colours-and-lively-music/articleshow/67450318.cms,09 Jan 2019,2019-01-09 00:00:00,timesofindia,en,
"
A riot of colours and lively music
",https://timesofindia.indiatimes.com/city/kolkata/a-riot-of-colours-and-lively-music/articleshow/67450395.cms,09 Jan 2019,2019-01-09 00:00:00,timesofindia,en,
"
Riot of colours brighten up Vadodara skies
",https://timesofindia.indiatimes.com/city/vadodara/riot-of-colours-brighten-up-vadodara-skies/articleshow/67428331.cms,08 Jan 2019,2019-01-08 00:00:00,timesofindia,en,
Tamil Nadu minister gets 3 years in jail in 20-year-old riot case,https://timesofindia.indiatimes.com/india/tamil-nadu-minister-gets-3-years-in-jail-in-20-year-old-riot-case/articleshow/67425737.cms,07 Jan 2019,2019-01-07 00:00:00,timesofindia,en,
"
Protesters in Kozhikode face rioting charges
",https://timesofindia.indiatimes.com/city/kozhikode/protesters-in-kozhikode-face-rioting-charges/articleshow/67402680.cms,06 Jan 2019,2019-01-06 00:00:00,timesofindia,en,
"
HC grants rape, riot victims right to file appeal directly
",https://timesofindia.indiatimes.com/city/ahmedabad/hc-grants-rape-riot-victims-right-to-file-appeal-directly/articleshow/67400127.cms,05 Jan 2019,2019-01-05 00:00:00,timesofindia,en,
"
Include Rajiv Gandhi’s name in anti-Sikh riot cases: Sukhbir
",https://timesofindia.indiatimes.com/city/amritsar/include-rajiv-gandhis-name-in-anti-sikh-riot-cases-sukhbir/articleshow/67373545.cms,04 Jan 2019,2019-01-04 00:00:00,timesofindia,en,
Stir effect: Number of rioting cases surged in 2018,https://timesofindia.indiatimes.com/city/ahmedabad/stir-effect-number-of-rioting-cases-surged-in-2018/articleshow/67373618.cms,03 Jan 2019,2019-01-03 00:00:00,timesofindia,en,
